source,target,value
 167;23;84;99(1),NoHCC(2),1
 167;23;99(1),NoHCC(2),2
 167;79(1),NoHCC(2),1
 167;99(1),NoHCC(2),2
 169;170(1),NoHCC(2),2
 169;170;23(1),NoHCC(2),1
 169;23(1),NoHCC(2),1
 169;79;8(1),NoHCC(2),1
 169;8(1),NoHCC(2),3
 169;9;96(1),NoHCC(2),1
 169;96(1),NoHCC(2),1
 170;176(1),NoHCC(2),3
 170;176;23(1),NoHCC(2),1
 170;19(1),NoHCC(2),1
 170;23(1),NoHCC(2),9
 170;23;96(1),NoHCC(2),1
 170;70(1),NoHCC(2),1
 170;85(1),NoHCC(2),1
 170;85;96(1),NoHCC(2),2
 170;96(1),NoHCC(2),1
 173;23;99(1),NoHCC(2),1
 173;84(1),NoHCC(2),1
 173;9(1),NoHCC(2),2
 176;28;84(1),NoHCC(2),1
 176;39(1),NoHCC(2),1
 176;72(1),NoHCC(2),1
 176;84(1),NoHCC(2),1
 176;9(1),NoHCC(2),1
 176;96(1),NoHCC(2),1
 18;186(1),NoHCC(2),1
 18;23;73(1),NoHCC(2),1
 18;73(1),NoHCC(2),1
 18;79(1),NoHCC(2),1
 18;79;99(1),NoHCC(2),1
 18;85(1),NoHCC(2),1
 18;87(1),NoHCC(2),1
 18;96(1),NoHCC(2),1
 186;188(1),NoHCC(2),1
 186;27;84(1),NoHCC(2),2
 186;28(1),NoHCC(2),1
 186;29(1),NoHCC(2),1
 186;33(1), 11;111(2),1
 186;33(1),NoHCC(2),1
 186;46(1),NoHCC(2),1
 186;84;85;87;96(1),NoHCC(2),1
 186;84;85;96(1),28(2),1
 186;84;85;96(1),NoHCC(2),1
 186;84;85;96;99(1),NoHCC(2),1
 186;85(1),9(2),1
 186;85(1),NoHCC(2),4
 186;9(1),NoHCC(2),2
 186;96(1),NoHCC(2),2
 188;2;33;34(1),NoHCC(2),1
 188;33(1),NoHCC(2),2
 188;96(1),NoHCC(2),1
 188;99(1),NoHCC(2),1
 19;23(1),NoHCC(2),1
 19;27(1),NoHCC(2),1
 19;28(1),NoHCC(2),1
 19;40(1),NoHCC(2),1
 19;48(1),NoHCC(2),1
 19;79;99(1),NoHCC(2),1
 19;8(1),8(2),1
 19;8(1),NoHCC(2),1
 19;85(1),NoHCC(2),2
 19;85;96(1),NoHCC(2),2
 19;86(1),NoHCC(2),2
 19;87(1),NoHCC(2),1
 19;88(1),NoHCC(2),2
 19;96(1),NoHCC(2),5
 2;23;33;8(1),NoHCC(2),1
 2;79(1),NoHCC(2),1
 2;79;96(1),NoHCC(2),1
 2;82;85(1),NoHCC(2),1
 2;84(1),NoHCC(2),3
 2;9(1),NoHCC(2),1
 21;33(1),NoHCC(2),1
 22;79(1),NoHCC(2),2
 22;84(1),NoHCC(2),1
 22;85;96(1),NoHCC(2),1
 22;9(1),NoHCC(2),1
 23;33(1),NoHCC(2),2
 23;33;84(1),NoHCC(2),1
 23;39(1),NoHCC(2),1
 23;55;99(1),NoHCC(2),1
 23;57(1),NoHCC(2),1
 23;79(1),NoHCC(2),2
 23;79;99(1),NoHCC(2),1
 23;8(1), 74;8(2),2
 23;8(1),NoHCC(2),1
 23;84(1),NoHCC(2),1
 23;85(1),NoHCC(2),2
 23;87(1),NoHCC(2),1
 23;87;96(1),NoHCC(2),1
 23;9(1),NoHCC(2),3
 23;96(1),NoHCC(2),10
 23;99(1),NoHCC(2),1
 27;9(1),NoHCC(2),1
 27;99(1),NoHCC(2),1
 28;33;84;85(1),NoHCC(2),1
 28;33;9(1),NoHCC(2),1
 28;46(1),NoHCC(2),1
 28;55(1),NoHCC(2),1
 28;75(1),NoHCC(2),1
 28;79(1),NoHCC(2),1
 28;85(1),NoHCC(2),1
 28;9(1), 27;9(2),1
 28;9(1),28(2),1
 28;9(1),NoHCC(2),5
 29;9(1),NoHCC(2),1
 33;35(1),NoHCC(2),1
 33;48;96(1),NoHCC(2),1
 33;79;84(1),NoHCC(2),1
 33;8(1),NoHCC(2),2
 33;84(1),NoHCC(2),2
 33;84;9(1),NoHCC(2),1
 33;87(1),NoHCC(2),1
 33;9(1),NoHCC(2),4
 33;96(1),NoHCC(2),3
 39;96(1),NoHCC(2),1
 40;84(1),NoHCC(2),2
 40;85(1),NoHCC(2),1
 40;96(1),NoHCC(2),1
 46;8(1),NoHCC(2),3
 46;9(1),NoHCC(2),1
 47;48(1),NoHCC(2),1
 47;58;79(1),NoHCC(2),1
 47;8(1),NoHCC(2),1
 47;9(1),NoHCC(2),2
 48;71;8(1),NoHCC(2),1
 48;75;79(1), 48;75;79(2),1
 48;78(1),NoHCC(2),1
 48;84(1),NoHCC(2),1
 48;85(1),NoHCC(2),2
 48;9(1),NoHCC(2),1
